CRIMETYPE,BEGDATE,X,Y,time,difftime
OTH,1/1/09 0:00,6467198.4,1838779.3,39814,0.220242616
OTH,1/1/09 0:00,6491154.1,1870637.9,39814,0.220539397
OTH,1/1/09 0:00,6479511.1,1809626,39814,0.220718559
OTH,1/1/09 0:00,6435072.5,1893170.9,39814,0.221229463
OTH,1/1/09 0:00,6482203.1,1842663,39814,0.221333083
VAND,1/1/09 0:00,6469233.2,1843350.1,39814,0.222292759
OTH,1/1/09 0:00,6457410.8,1857261.6,39814,0.223814526
OTH,1/1/09 0:00,6479392.7,1841106.3,39814,0.22667793
OTH,1/1/09 0:00,6446483.9,1838901.3,39814,0.227744024
BTFV,1/1/09 0:00,6449714.9,1886040.7,39814,0.227798555
OTH,1/1/09 0:00,6429195.5,1890895.9,39814,0.228916539
OTH,1/1/09 0:00,6481004.3,1822090.9,39814,0.229314948
OTH,1/1/09 0:00,6475677.032,1805363.129,39814,0.229979246
OTH,1/1/09 0:00,6423353.3,1907129.7,39814,0.230251249
OTH,1/1/09 0:00,6457553,1858272.7,39814,0.230477782
OTH,1/1/09 0:00,6379824.502,1915106.104,39814,0.231019808
OTH,1/1/09 0:00,6413831.6,1918469.6,39814,0.23165112
OTH,1/1/09 0:00,6409389.467,1913869.451,39814,0.23221345
VAND,1/1/09 0:00,6511029.2,1854663.2,39814,0.23296953
BTFV,1/1/09 0:00,6475996.6,1845796.1,39814,0.234456154
OTH,1/1/09 0:00,6474765.3,1863325.4,39814,0.234638075
OTH,1/1/09 0:00,6482980.9,1822817.1,39814,0.239367775
BURG,1/1/09 0:00,6461389.7,1843410.2,39814,0.239460675
OTH,1/1/09 0:00,6496896.07,1866498.253,39814,0.239493996
THEFT,1/1/09 0:00,6443693.8,1850281.2,39814,0.239788461
THEFT,1/1/09 0:00,6474144.697,1833381.534,39814,0.24336449
OTH,1/1/09 0:00,6477746.1,1825440,39814,0.243563757
VAND,1/1/09 0:00,6473246.9,1834493.9,39814,0.244067628
OTH,1/1/09 0:00,6381725.3,1883735.4,39814,0.246818588
OTH,1/1/09 0:00,6471077.6,1826541,39814,0.2497378
BTFV,1/1/09 0:00,6500816.2,1864442.7,39814,0.250406663
VAND,1/1/09 0:00,6471479.8,1842933.3,39814,0.250850347
BURG,1/1/09 0:00,6474895.3,1809152.1,39814,0.250908836
OTH,1/1/09 0:00,6418373.3,1818073.9,39814,0.252292587
OTH,1/1/09 0:00,6456168.6,1857198.4,39814,0.253509829
THEFT,1/1/09 0:00,6404035.6,1876432.4,39814,0.256840274
OTH,1/1/09 0:00,6480749.202,1862227.784,39814,0.257269607
THEFT,1/1/09 0:00,6427309.9,1909644.1,39814,0.257698004
OTH,1/1/09 0:00,6488225.2,1799663.3,39814,0.260742481
OTH,1/1/09 0:00,6500171.9,1834665.5,39814,0.261235802
OTH,1/1/09 0:00,6469136.8,1845900.8,39814,0.261777632
OTH,1/1/09 0:00,6470644.5,1827028.5,39814,0.262486245
VAND,1/1/09 0:00,6477605.3,1845359.3,39814,0.262791739
OTH,1/1/09 0:00,6452184.642,1832706.905,39814,0.263386306
OTH,1/1/09 0:00,6422306.6,1939800.8,39814,0.263423813
BTFV,1/1/09 0:00,6481665.161,1740472.421,39814,0.263431772
VAND,1/1/09 0:00,6436093.7,1832140.7,39814,0.263855089
OTH,1/1/09 0:00,6448866.6,1884705,39814,0.26389572
OTH,1/1/09 0:00,6474569.7,1812332.8,39814,0.264216325
OTH,1/1/09 0:00,6456588,1859631.2,39814,0.265436119
BTFV,1/1/09 0:00,6449339.3,1811584.2,39814,0.265691479
BURG,1/1/09 0:00,6423525.1,1860453.7,39814,0.266440216
OTH,1/1/09 0:00,6480621.9,1827417.7,39814,0.266594072
VAND,1/1/09 0:00,6454991.8,1839654.8,39814,0.268189196
OTH,1/1/09 0:00,6451109.2,1898388.9,39814,0.271333463
OTH,1/1/09 0:00,6477814,1834208.8,39814,0.271475949
OTH,1/1/09 0:00,6468466.6,1848801.7,39814,0.272187238
VAND,1/1/09 0:00,6456618,1859496.3,39814,0.27361059
BTFV,1/1/09 0:00,6442359.7,1874091.6,39814,0.274251248
AGG,1/1/09 0:00,6436446.004,1927235.375,39814,0.274312414
THEFT,1/1/09 0:00,6447760.132,1844269.783,39814,0.275197994
BTFV,1/1/09 0:00,6378208.9,1915743.8,39814,0.275727197
THEFT,1/1/09 0:00,6475913.8,1826772.8,39814,0.278901652
OTH,1/1/09 0:00,6470989.006,1857279.099,39814,0.279122175
OTH,1/1/09 0:00,6499213,1840294.7,39814,0.279959254
OTH,1/1/09 0:00,6480649.1,1871416.2,39814,0.279967196
OTH,1/1/09 0:00,6434461.4,1876948.1,39814,0.279973396
AGG,1/1/09 0:00,6489321.8,1798829.4,39814,0.280361892
AGG,1/1/09 0:00,6487670.053,1819946.149,39814,0.280618392
OTH,1/1/09 0:00,6431828.9,1893183.2,39814,0.280699577
AGG,1/1/09 0:00,6463924.3,1839858.5,39814,0.281140563
OTH,1/1/09 0:00,6483798.3,1830731.6,39814,0.281192168
OTH,1/1/09 0:00,6478302.8,1804386.1,39814,0.281827209
OTH,1/1/09 0:00,6369069,1897865.7,39814,0.281955683
OTH,1/1/09 0:00,6487737.8,1823553.4,39814,0.282677926
OTH,1/1/09 0:00,6471219.5,1836344.3,39814,0.282955299
OTH,1/1/09 0:00,6451862.1,1840865.2,39814,0.283032156
OTH,1/1/09 0:00,6478761.9,1861166.8,39814,0.283221673
